0x0000|Littleroot Town
0x0073|Route 15
0x0074|Route 16
0x0075|Route 17
0x0076|Route 18
0x0077|Route 19
0x0078|Route 20
0x0079|Route 21
0x007a|Route 22
0x007b|Route 23
0x007c|Route 24
0x007d|Route 25
0x007e|Viridian Forest
0x007f|Mt. Moon
0x0080|S.S. Anne
0x0081|Underground Path (Routes 5-6)
0x0082|Underground Path (Routes 7-8)
0x0083|Diglett's Cave
0x0084|Victory Road (FRLG)
0x0085|Rocket Hideout
0x0086|Silph Co.
0x0087|Pokémon Mansion
0x0088|Safari Zone (FRLG)
0x0089|Pokémon League
0x008a|Rock Tunnel
0x008b|Seafoam Islands
0x008c|Pokémon Tower
0x008d|Cerulean Cave
0x008e|Power Plant
0x008f|One Island
0x0090|Two Island
0x0091|Three Island
0x0092|Four Island
0x0093|Five Island
0x0094|Seven Island
0x0095|Six Island
0x0096|Kindle Road
0x0097|Treasure Beach
0x0098|Cape Brink
0x0099|Bond Bridge
0x009a|Three Isle Port
0x009b|Sevii Isle 6
0x009c|Sevii Isle 7
0x009d|Sevii Isle 8
0x009e|Sevii Isle 9
0x009f|Resort Gorgeous
0x00a0|Water Labyrinth
0x00a1|Five Isle Meadow
0x00a2|Memorial Pillar
0x00a3|Outcast Island
0x00a4|Green Path
0x00a5|Water Path
0x00a6|Ruin Valley
0x00a7|Trainer Tower (exterior)
0x00a8|Canyon Entrance
0x00a9|Sevault Canyon
0x00aa|Tanoby Ruins
0x00ab|Sevii Isle 22
0x00ac|Sevii Isle 23
0x00ad|Sevii Isle 24
0x00ae|Navel Rock (FRLG)
0x00af|Mt. Ember
0x00b0|Berry Forest
0x00b1|Icefall Cave
0x00b2|Rocket Warehouse
0x00b3|Trainer Tower
0x00b4|Dotted Hole
0x00b5|Lost Cave
0x00b6|Pattern Bush
0x00b7|Altering Cave (FRLG)
0x00b8|Tanoby Chambers
0x00b9|Three Isle Path
0x00ba|Tanoby Key
0x00bb|Birth Island (FRLG)
0x00bc|Monean Chamber
0x00bd|Liptoo Chamber
0x00be|Weepth Chamber
0x00bf|Dilford Chamber
0x00c0|Scufib Chamber
0x00c1|Rixy Chamber
0x00c2|Viapois Chamber
0x00c3|Ember Spa
0x00c4|Celadon Dept. (FRLG) Special Area (E)
0x00c5|Aqua Hideout
0x00c6|Magma Hideout
0x00c7|Mirage Tower
0x00c8|Birth Island (E)
0x00c9|Faraway Island
0x00ca|Artisan Cave
0x00cb|Marine Cave
0x00cc|Underwater (Marine Cave)
0x00cd|Terra Cave
0x00ce|Underwater (Route 105)
0x00cf|Underwater (Route 125)
0x00d0|Underwater (Route 129)
0x00d1|Desert Underpass
0x00d2|Altering Cave (E)
0x00d3|Navel Rock (E)
0x00d4|Trainer Hill
0x00fd|(gift egg)
0x00fe|(in-game trade)
0x00ff|(fateful encounter)
